Risk,Host,Name,Description,Solution,Plugin Output,Category,Reported
Medium,10.204.224.26,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
Low,10.204.224.26,SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),"The remote host allows SSL/TLS connections with one or more
Diffie-Hellman moduli less than or equal to 1024 bits. Through
cryptanalysis, a third party may be able to find the shared secret in
a short amount of time (depending on modulus size and attacker
resources). This may allow an attacker to recover the plaintext or
potentially violate the integrity of connections.","Reconfigure the service to use a unique Diffie-Hellman moduli of 2048
bits or greater.","
Vulnerable connection combinations :

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)
",ssl related vulnerability,yes
Medium,10.204.224.26,TLS Version 1.0 Protocol Detection,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that arenâ€™t enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability,yes
Critical,10.204.224.26,Unsupported Windows OS (remote),"The remote version of Microsoft Windows is either missing a service pack
or is no longer supported. As a result, it is likely to contain security
vulnerabilities.",Upgrade to a supported service pack or operating system,"
The following Windows version is installed and not supported:

Microsoft Windows Server 2008 R2 Standard Service Pack 1
",unsupported operating system,yes
Medium,10.204.224.3,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,"The remote version of the Remote Desktop Protocol Server (Terminal
Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP 
client makes no effort to validate the identity of the server when 
setting up encryption. An attacker with the ability to intercept 
traffic from the RDP server can establish encryption with the client 
and server without being detected. A MiTM attack of this nature would 
allow the attacker to obtain any sensitive information transmitted, 
including authentication credentials.

This flaw exists because the RDP server stores a hard-coded RSA
private key in the mstlsapi.dll library. Any local user with
access to this file (on any Windows system) can retrieve the
key and use it for this attack.","- Force the use of SSL as a transport layer for this service if
supported, or/and

- Select the 'Allow connections only from computers running Remote 
Desktop with Network Level Authentication' setting if it is available.",,inadequate security configuration,yes
High,10.204.224.3,SSL Version 2 and 3 Protocol Detection,"The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP1024-DES-CBC-SHA                            RSA(1024)     RSA      DES-CBC(56)            SHA1      export
    EXP1024-RC4-SHA                                RSA(1024)     RSA      RC4(56)                SHA1      export
    EXP-RC2-CBC-MD5                                RSA(512)      RSA      RC2-CBC(40)            MD5       export
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                                    RSA           RSA      DES-CBC(56)            SHA1

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
High,10.204.224.3,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
High,10.204.224.3,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
High,10.204.224.3,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
Medium,10.204.224.3,SSL Weak Cipher Suites Supported,"The remote host supports the use of SSL ciphers that offer weak
encryption.

Note: This is considerably easier to exploit if the attacker is on the
same physical network.","Reconfigure the affected application, if possible to avoid the use of
weak ciphers.","
Here is the list of weak SSL ciphers supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP1024-DES-CBC-SHA           0x00, 0x62       RSA(1024)     RSA      DES-CBC(56)            SHA1      export
    EXP1024-RC4-SHA               0x00, 0x64       RSA(1024)     RSA      RC4(56)                SHA1      export
    EXP-RC2-CBC-MD5               0x00, 0x06       RSA(512)      RSA      RC2-CBC(40)            MD5       export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                   0x00, 0x09       RSA           RSA      DES-CBC(56)            SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Low,10.204.224.3,Terminal Services Encryption Level is not FIPS-140 Compliant,"The encryption setting used by the remote Terminal Services service
is not FIPS-140 compliant.","Change RDP encryption level to :

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium (Client Compatible)",inadequate security configuration,yes
Medium,10.204.224.3,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SSL_Self_Signed_Fallback
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Aug 11 18:04:49 2021 GMT
|-Valid To            : Aug 11 18:04:49 2051 GMT
",ssl related vulnerability,yes
Medium,10.204.224.3,Unencrypted Telnet Server,"The remote host is running a Telnet server over an unencrypted
channel.

Using Telnet over an unencrypted channel is not recommended as logins,
passwords, and commands are transferred in cleartext. This allows a 
remote, man-in-the-middle attacker to eavesdrop on a Telnet session to
obtain credentials or other sensitive information and to modify
traffic exchanged between a client and server.

SSH is preferred over Telnet since it protects credentials from
eavesdropping and can tunnel additional data streams such as an X11
session.",Disable the Telnet service and use SSH instead.,"
Nessus collected the following banner from the remote Telnet server :

------------------------------ snip ------------------------------
Welcome to Microsoft Telnet Service 


login: 
------------------------------ snip ------------------------------
",inadequate security configuration,yes
Medium,10.204.224.3,SSL Medium Strength Cipher Suites Supported (SWEET32),"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.3,SSL Certificate with Wrong Hostname,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,"
The identities known by Nessus are :

  10.204.224.3
  10.204.224.3

The Common Name in the certificate is :

  SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.3,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SSL_Self_Signed_Fallback
|-Issuer  : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.3,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SSL_Self_Signed_Fallback
",ssl related vulnerability,yes
Medium,10.204.224.3,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
Medium,10.204.224.3,Terminal Services Encryption Level is Medium or Low,"The remote Terminal Services service is not configured to use strong
cryptography. 

Using weak cryptography with this service may allow an attacker to
eavesdrop on the communications more easily and obtain screenshots
and/or keystrokes.","Change RDP encryption level to one of :

 3. High

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium",inadequate security configuration,yes
Medium,10.204.224.3,SSL RC4 Cipher Suites Supported (Bar Mitzvah),"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","
List of RC4 cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP1024-RC4-SHA               0x00, 0x64       RSA(1024)     RSA      RC4(56)                SHA1      export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.3,SSL RC4 Cipher Suites Supported (Bar Mitzvah),"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","
List of RC4 cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP1024-RC4-SHA               0x00, 0x64       RSA(1024)     RSA      RC4(56)                SHA1      export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Low,10.204.224.3,SSL Certificate Chain Contains RSA Keys Less Than 2048 bits,"At least one of the X.509 certificates sent by the remote host has a
key that is shorter than 2048 bits. According to industry standards
set by the Certification Authority/Browser (CA/B) Forum, certificates
issued after January 1, 2014 must be at least 2048 bits.

Some browser SSL implementations may reject keys less than 2048 bits
after January 1, 2014. Additionally, some SSL certificate vendors may
revoke certificates less than 2048 bits before January 1, 2014.

Note that Nessus will not flag root certificates with RSA keys less
than 2048 bits if they were issued prior to December 31, 2010, as the
standard considers them exempt.","Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.","
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : CN=SSL_Self_Signed_Fallback
|-RSA Key Length : 1024 bits
",ssl related vulnerability,yes
Critical,10.204.224.3,Microsoft Windows XP Unsupported Installation Detection,"The remote host is running Microsoft Windows XP. Support for this
operating system by Microsoft ended April 8th, 2014.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it is likely to contain
security vulnerabilities. Furthermore, Microsoft is unlikely to
investigate or acknowledge reports of vulnerabilities.",Upgrade to a version of Windows that is currently supported.,,unsupported operating system,yes
Critical,10.204.224.3,Microsoft SQL Server Unsupported Version Detection (remote check),"According to its self-reported version number, the installation of
Microsoft SQL Server on the remote host is no longer supported.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it is likely to contain
security vulnerabilities.","Upgrade to a version of Microsoft SQL Server that is currently
supported.","
The following unsupported installation of Microsoft SQL Server was
detected :


  Installed version : 10.50.1600.0
  Fixed version     : This version is no longer supported.

  SQL Server Instance  : SQLEXPRESS",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.3,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),"The remote host is affected by a man-in-the-middle (MitM) information
disclosure vulnerability known as POODLE. The vulnerability is due to
the way SSL 3.0 handles padding bytes when decrypting messages
encrypted using block ciphers in cipher block chaining (CBC) mode.
MitM attackers can decrypt a selected byte of a cipher text in as few
as 256 tries if they are able to force a victim application to
repeatedly send the same data over newly created SSL 3.0 connections.

As long as a client and service both support SSLv3, a connection can
be 'rolled back' to SSLv3, even if TLSv1 or newer is supported by the
client and service.

The TLS Fallback SCSV mechanism prevents 'version rollback' attacks
without impacting legacy clients; however, it can only protect
connections when the client and service support the mechanism. Sites
that cannot disable SSLv3 immediately should enable this mechanism.

This is a vulnerability in the SSLv3 specification, not in any
particular SSL implementation. Disabling SSLv3 is the only way to
completely mitigate the vulnerability.","Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.","
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is supported on the server. However, the 
Fallback SCSV mechanism is not supported, allowing connections to be ""rolled 
back"" to SSLv3.
",ssl related vulnerability,yes
Medium,10.204.224.3,SSL/TLS EXPORT_RSA <= 512-bit Cipher Suites Supported (FREAK),"The remote host supports EXPORT_RSA cipher suites with keys less than
or equal to 512 bits. An attacker can factor a 512-bit RSA modulus in
a short amount of time.

A man-in-the middle attacker may be able to downgrade the session to
use EXPORT_RSA cipher suites (e.g. CVE-2015-0204). Thus, it is
recommended to remove support for weak cipher suites.","Reconfigure the service to remove support for EXPORT_RSA cipher
suites.","
EXPORT_RSA cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-RC2-CBC-MD5               0x00, 0x06       RSA(512)      RSA      RC2-CBC(40)            MD5       export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.3,TLS Version 1.0 Protocol Detection,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that arenâ€™t enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability,yes
Critical,10.204.224.3,Unsupported Windows OS (remote),"The remote version of Microsoft Windows is either missing a service pack
or is no longer supported. As a result, it is likely to contain security
vulnerabilities.",Upgrade to a supported service pack or operating system,"
The following Windows version is installed and not supported:

Microsoft Windows XP


Microsoft Windows XP for Embedded Systems
",unsupported operating system,yes
Critical,10.204.224.3,Microsoft RDP RCE (CVE-2019-0708) (BlueKeep) (uncredentialed check),"The remote host is affected by a remote code execution vulnerability in Remote Desktop Protocol (RDP). An
unauthenticated, remote attacker can exploit this, via a series of specially crafted requests, to execute arbitrary code.","Microsoft has released a set of patches for Windows XP, 2003, 2008, 7, and 2008 R2.",,inadequate security configuration,yes
Medium,10.204.224.4,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,"The remote version of the Remote Desktop Protocol Server (Terminal
Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP 
client makes no effort to validate the identity of the server when 
setting up encryption. An attacker with the ability to intercept 
traffic from the RDP server can establish encryption with the client 
and server without being detected. A MiTM attack of this nature would 
allow the attacker to obtain any sensitive information transmitted, 
including authentication credentials.

This flaw exists because the RDP server stores a hard-coded RSA
private key in the mstlsapi.dll library. Any local user with
access to this file (on any Windows system) can retrieve the
key and use it for this attack.","- Force the use of SSL as a transport layer for this service if
supported, or/and

- Select the 'Allow connections only from computers running Remote 
Desktop with Network Level Authentication' setting if it is available.",,inadequate security configuration,yes
High,10.204.224.4,SSL Version 2 and 3 Protocol Detection,"The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP1024-DES-CBC-SHA                            RSA(1024)     RSA      DES-CBC(56)            SHA1      export
    EXP1024-RC4-SHA                                RSA(1024)     RSA      RC4(56)                SHA1      export
    EXP-RC2-CBC-MD5                                RSA(512)      RSA      RC2-CBC(40)            MD5       export
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                                    RSA           RSA      DES-CBC(56)            SHA1

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
High,10.204.224.4,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
High,10.204.224.4,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
High,10.204.224.4,Microsoft Windows SMB NULL Session Authentication,"The remote host is running Microsoft Windows. It is possible to 
  log into it using a NULL session (i.e., with no login or password).

  Depending on the configuration, it may be possible for an unauthenticated, remote attacker to leverage this issue to 
  get information about the remote host.","Apply the following registry changes per the referenced Technet advisories :
    
    Set : 
      - HKLM\SYSTEM\CurrentControlSet\Control\LSA\RestrictAnonymous=1
      - HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\restrictnullsessaccess=1

  Reboot once the registry changes are complete.",It was possible to bind to the \browser pipe,inadequate security configuration,yes
